is_negative,is_netral,is_positive,to_drop,full_text,,,,,,,,,,,,,
,1,,,setelah nyobain deepseek versi free di webnya langsung kok kayanya lebih bagusan grok ya mungkin deepseek menang di pricing nya aja lebih murah udah gitu opensource jadi bisa dicustom,,,,,,,,,,,,,
,,,1,Deepseek R1 aku cancel terus claudeAI hahha,,,,,,,,,,,,,
,1,,,@Yukikaze_D_2 @BudiBukanIntel DeepSeek R1 reasoning model jalankan secara lokal pale LM Studio misal. Ada beberapa varian,,,,,,,,,,,,,
,,1,,Bes pulak borak dengan deepseek ni. Tere BM dia.,,,,,,,,,,,,,
,1,,,1.Setelah Washington melarang Nvidia mengekspor chip terkuatnya ke RRT perusahaan AI lokal mencari cara inovatif utk memaksimalkan daya komputasi sejumlah chip dalam negeri sebuah masalah yg sudah diketahui cara penyelesaiannya oleh Tiongkok. Lahirlah DeepSeek (/2),,,,,,,,,,,,,
,1,,,Mau nyoba Deepseek,,,,,,,,,,,,,
,1,,,I don t usually likes tech drama but this Deepseek discourse is actually funny wk Cuma ngeri2 nih nasib stok gue di big tech US. Soalnya hampir semua company lagi fokus ke AI,,,,,,,,,,,,,
,,1,,Okey saatnya kita coba deepseek,,,,,,,,,,,,,
,1,,,selamat datang di perbendaharaan AI saya deepseek @deepseek_ai https://t.co/QwJqsjLCte,,,,,,,,,,,,,
,,,1,@rshohnur Da da shunaqa bulani orqasidan Nvidia ham ketti chunki Chat GPT ga qaraganda Deepseek ancha kam resurs talab qilarkan.,,,,,,,,,,,,,
,,,1,@kkuchkarov ikkalasiga bir xil zadaniya berib ko'rdim deepseek'da deyarli 2x tez va akkuratniy chiqaryapti kamiga 20$ to'lab kunlik limit bilan ishlatish kerak bratnikini ) nokaut qilishdi xitoyliklar samani,,,,,,,,,,,,,
,,,1,Deepseek openai'ning eng kuchli modeli o1 bilan bir xil modelini tekinga opensource qilib chiqarvoribdi! Test qilib ko'rdim xattoki tezroq chatgpt'dan!! Crazy,,,,,,,,,,,,,
